"행정구역(시도)별(1)","특성별(1)",특성별(2),2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2020,2020,2020,2020,2020,2020
"행정구역(시도)별(1)","특성별(1)",특성별(2),계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함,계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함,계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함,계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함,계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함,계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함,계,전혀 불안하지 않음,별로 불안하지 않음,보통,약간 불안함,매우 불안함
"전국","연령",50∼59세,100.0,0.4,7.1,28.4,53.3,10.9,100.0,0.8,8.2,25.6,52.9,12.5,100.0,1.3,9.3,26.5,51.9,10.9,100.0,1.1,8.2,26.3,51.4,13.0,100.0,1.3,8.6,24.2,51.7,14.2,100.0,1.8,15.5,31.5,43.8,7.3,100.0,3.0,16.1,32.5,40.6,7.8
"전국","연령",60세이상,100.0,0.7,9.4,33.3,47.8,8.8,100.0,1.0,9.6,28.2,50.3,10.9,100.0,1.3,10.5,30.1,49.6,8.4,100.0,1.2,10.6,27.2,50.0,11.0,100.0,1.8,10.6,27.7,49.2,10.7,100.0,2.2,18.8,32.7,40.1,6.2,100.0,3.9,20.5,33.5,36.8,5.3
"전국","연령",65세이상,100.0,0.7,9.8,34.8,46.5,8.1,100.0,1.0,9.7,29.0,49.9,10.3,100.0,1.6,10.9,30.7,48.8,8.1,100.0,1.3,11.1,28.0,49.1,10.5,100.0,1.8,11.2,28.9,47.7,10.5,100.0,2.3,19.8,32.4,39.7,5.9,100.0,4.0,22.0,34.2,35.3,4.5
"전국","교육정도",초졸이하,100.0,0.6,9.3,34.7,47.2,8.1,100.0,0.9,8.7,29.4,49.6,11.4,100.0,1.9,11.1,29.5,47.6,9.9,100.0,1.5,10.9,29.5,46.9,11.2,100.0,1.9,11.2,29.3,46.1,11.5,100.0,3.2,19.4,32.3,37.8,7.2,100.0,5.3,22.8,34.6,32.4,4.8
"전국","교육정도",중 졸,100.0,0.7,6.8,29.3,51.4,11.8,100.0,1.1,9.3,25.7,50.4,13.7,100.0,2.0,10.1,28.9,47.6,11.4,100.0,1.4,10.4,29.2,47.5,11.5,100.0,1.8,10.9,28.4,47.3,11.6,100.0,3.2,18.6,32.8,38.3,7.0,100.0,5.7,19.9,34.4,34.6,5.5
"전국","교육정도",고 졸,100.0,0.6,7.1,25.7,53.6,13.0,100.0,1.0,7.7,24.7,52.1,14.5,100.0,1.2,9.0,27.7,49.5,12.6,100.0,1.1,8.3,28.2,48.9,13.5,100.0,1.9,9.0,26.6,48.0,14.6,100.0,2.3,16.6,32.8,40.7,7.5,100.0,4.5,17.6,34.1,36.6,7.2
"전국","교육정도",대졸이상,100.0,0.4,5.8,23.2,55.1,15.5,100.0,0.9,8.2,21.1,54.1,15.7,100.0,1.3,8.3,23.5,53.0,13.9,100.0,1.2,8.2,23.6,52.4,14.7,100.0,1.4,8.0,24.1,51.2,15.3,100.0,1.9,15.3,29.7,43.7,9.3,100.0,2.9,17.2,28.5,42.2,9.1
"전국","혼인상태",미? 혼,100.0,0.6,7.4,25.9,51.8,14.3,100.0,1.3,9.5,25.1,49.3,14.9,100.0,2.2,10.9,27.5,46.1,13.3,100.0,1.8,10.1,29.0,46.6,12.5,100.0,2.4,10.2,28.5,46.2,12.7,100.0,3.3,18.3,32.5,37.5,8.4,100.0,6.0,20.2,32.8,33.5,7.5
"전국","혼인상태",배우자 있음,100.0,0.5,6.6,26.0,54.0,12.9,100.0,0.8,7.6,23.1,53.9,14.6,100.0,1.2,8.2,25.5,52.5,12.5,100.0,1.0,8.2,25.4,51.4,14.0,100.0,1.4,8.3,24.7,50.5,15.0,100.0,1.9,15.6,31.2,43.2,8.0,100.0,3.2,16.9,31.1,41.0,7.8
"전국","혼인상태",사? 별,100.0,0.6,9.0,36.7,46.6,7.1,100.0,0.9,9.5,30.8,49.5,9.4,100.0,1.3,11.6,31.6,47.5,8.0,100.0,1.0,10.7,30.0,47.7,10.5,100.0,1.6,10.9,29.6,47.1,10.8,100.0,2.7,18.9,30.6,40.7,7.1,100.0,4.6,22.0,34.2,34.3,4.9
