"행정구역(시도)별(1)","특성별(1)",특성별(2),2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2018,2018,2018,2018,2018,2018,2020,2020,2020,2020,2020,2020
"행정구역(시도)별(1)","특성별(1)",특성별(2),계,매우 좋다,약간 좋다,보통,약간 나쁘다,매우 나쁘다,계,매우 좋다,약간 좋다,보통,약간 나쁘다,매우 나쁘다,계,매우 좋다,약간 좋다,보통,약간 나쁘다,매우 나쁘다,계,매우 좋다,약간 좋다,보통,약간 나쁘다,매우 나쁘다,계,매우 좋다,약간 좋다,보통,약간 나쁘다,매우 나쁘다,계,매우 좋다,약간 좋다,보통,약간 나쁘다,매우 나쁘다
"전국","연령",65세이상,100.0,17.3,31.4,36.0,13.2,2.1,100.0,22.4,30.9,34.9,10.2,1.6,100.0,20.0,30.8,33.9,13.4,1.9,100.0,16.5,28.9,33.0,18.0,3.5,100.0,13.8,26.0,31.2,21.8,7.2,100.0,18.4,29.4,33.6,15.6,3.0
"전국","교육정도",초졸이하,100.0,16.4,29.8,37.4,14.0,2.4,100.0,20.3,30.1,36.2,11.2,2.2,100.0,19.1,30.4,35.7,13.1,1.6,100.0,16.3,28.0,35.2,17.5,3.1,100.0,13.9,26.4,31.5,21.0,7.2,100.0,19.4,30.4,33.2,14.5,2.5
"전국","교육정도",중 졸,100.0,8.4,25.6,45.9,17.3,2.9,100.0,11.9,27.4,45.0,13.6,2.1,100.0,11.6,27.7,43.7,14.8,2.2,100.0,10.8,25.0,42.3,18.1,3.8,100.0,8.4,24.0,36.6,22.9,8.1,100.0,13.8,27.7,40.0,15.2,3.3
"전국","교육정도",고 졸,100.0,7.9,25.3,45.4,18.2,3.1,100.0,10.3,26.2,46.4,14.6,2.6,100.0,8.2,24.0,46.7,17.7,3.4,100.0,7.0,21.7,43.2,22.0,6.1,100.0,6.3,20.4,38.1,24.6,10.6,100.0,10.5,25.9,41.7,17.4,4.6
"전국","교육정도",대졸이상,100.0,8.6,26.6,42.1,19.2,3.5,100.0,10.4,28.6,42.5,15.8,2.7,100.0,7.7,24.9,42.7,20.0,4.8,100.0,6.5,21.6,38.8,23.5,9.5,100.0,5.2,19.9,33.6,26.1,15.2,100.0,8.8,26.3,38.6,19.9,6.4
"전국","혼인상태",미? 혼,100.0,5.9,23.6,47.0,19.9,3.7,100.0,8.4,26.2,46.6,16.3,2.5,100.0,7.8,23.2,47.3,17.9,3.7,100.0,6.8,20.9,43.9,21.9,6.5,100.0,5.5,19.7,36.4,25.7,12.7,100.0,10.4,25.7,40.8,18.1,5.0
"전국","혼인상태",배우자 있음,100.0,10.5,27.4,42.1,17.2,2.9,100.0,13.5,28.4,41.9,13.5,2.6,100.0,10.6,26.8,41.6,17.5,3.5,100.0,8.8,23.5,39.1,21.5,7.1,100.0,7.4,22.0,34.9,23.9,11.7,100.0,11.2,27.0,38.9,17.7,5.1
"전국","혼인상태",사? 별,100.0,15.4,31.3,38.0,13.1,2.2,100.0,19.6,30.3,37.3,11.0,1.8,100.0,18.8,29.1,36.0,14.2,1.9,100.0,15.8,27.4,35.4,18.4,3.0,100.0,13.6,26.3,31.5,21.4,7.3,100.0,18.5,30.9,32.6,15.9,2.1
"전국","혼인상태",이? 혼,100.0,7.7,23.0,44.8,20.4,4.0,100.0,10.2,26.5,45.9,15.7,1.7,100.0,7.6,24.9,46.6,17.6,3.3,100.0,8.2,23.7,41.5,21.5,5.1,100.0,5.8,18.8,39.2,27.2,9.0,100.0,9.4,26.2,41.3,17.9,5.2
"전국","경제활동",취? 업,100.0,10.2,27.3,42.0,17.4,3.1,100.0,13.6,27.9,41.6,14.2,2.6,100.0,10.3,25.9,42.6,17.4,3.7,100.0,8.2,23.0,40.0,22.0,6.9,100.0,7.1,21.3,35.0,24.9,11.8,100.0,10.6,26.6,39.8,18.0,5.0
"전국","경제활동",실업 및 비경제활동,100.0,8.6,25.5,44.7,18.1,3.1,100.0,10.6,27.6,45.1,14.3,2.3,100.0,10.1,25.7,43.9,17.3,3.0,100.0,9.3,23.0,40.9,20.6,6.2,100.0,7.3,21.6,35.8,23.9,11.3,100.0,12.3,27.1,38.5,17.4,4.7
"전국","산업",농림어업,100.0,32.5,36.6,22.6,7.1,1.2,100.0,42.1,33.4,17.5,5.4,1.6,100.0,35.1,37.9,19.9,6.3,0.8,100.0,31.0,33.4,22.7,11.7,1.2,100.0,29.0,31.7,20.6,14.6,4.2,100.0,34.7,28.7,22.5,11.6,2.4
